Date,Tasks_Completed,Errors_Found,Time_Spent_Hours,Rework_Count
2024-01-01,45,3,8.5,2
2024-01-02,52,5,9.0,3
2024-01-03,48,2,8.0,1
2024-01-04,55,4,9.5,2
2024-01-05,50,6,8.5,4
2024-01-08,43,2,7.5,1
2024-01-09,58,3,9.0,2
2024-01-10,51,7,9.5,5
2024-01-11,49,4,8.0,3
2024-01-12,53,2,8.5,1
2024-01-15,47,5,8.0,3
2024-01-16,56,3,9.0,2
2024-01-17,50,6,8.5,4
2024-01-18,54,4,9.0,2
2024-01-19,52,3,8.5,2
2024-01-22,48,8,9.5,6
2024-01-23,55,2,8.0,1
2024-01-24,51,5,9.0,3
2024-01-25,49,4,8.5,2
2024-01-26,57,3,9.0,2
2024-01-29,46,6,8.5,4
2024-01-30,53,4,8.5,3
2024-01-31,50,5,9.0,3
2024-02-01,54,3,8.5,2
2024-02-02,52,7,9.5,5
2024-02-05,48,2,8.0,1
2024-02-06,56,4,9.0,3
2024-02-07,51,5,8.5,3
2024-02-08,49,3,8.0,2
2024-02-09,55,6,9.5,4
